wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|BIH0KAO1Z YUW1 WIH1L NOW1 DHAE1T AY1 WIH1L BIY1 VEH1RIY0 VEH1RIY0 AH1PSEH2T IH1F YUW1 DUW1 .
wavs/9-7-18 clem interviewed by tara_1.wav-03968850_03973890.wav|LEH1D DAW1N BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03969060_03973890.wav|DAW1N BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03966510_03973890.wav|AH0ND AH0ND SHIY1 FIY1LZ KAH0MPLIY1TLIY0 LEH1D DAW1N BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03971130_03975870.wav|DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03970800_03975870.wav|AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03973440_03975870.wav|AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03969390_03975870.wav|BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03970800_03975870.wav|SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03972390_03973890.wav|AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03972990_03975870.wav|DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03973200_03975870.wav|LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03969900_03975870.wav|BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03969900_03973890.wav|DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03971130_03973890.wav|DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03971130_03975870.wav|AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03969390_03975870.wav|BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03971700_03973890.wav|AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03966120_03973890.wav|FIY1T AH0ND AH0ND SHIY1 FIY1LZ KAH0MPLIY1TLIY0 LEH1D DAW1N BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03968010_03973890.wav|FIY1LZ KAH0MPLIY1TLIY0 LEH1D DAW1N BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03971460_03973890.wav|KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03969060_03975870.wav|DAW1N BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03969390_03973890.wav|BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03969900_03975870.wav|DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03970800_03973890.wav|AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03970290_03973890.wav|KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03970800_03973890.wav|SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03969390_03973890.wav|BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03971130_03973890.wav|AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03967710_03973890.wav|SHIY1 FIY1LZ KAH0MPLIY1TLIY0 LEH1D DAW1N BAY1 , BAY1 BAY1 DHAH0 KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T .
wavs/9-7-18 clem interviewed by tara_1.wav-03974760_03975870.wav|AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03971700_03975870.wav|AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03971460_03975870.wav|KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03972390_03975870.wav|AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03972390_03975870.wav|SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03973200_03975870.wav|AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03970290_03975870.wav|KAH0MYUW1NAH0TIY0 AH0ND SOW1 DUW1 AY1 KWAY1T AA1NAH0STLIY0 . AH0ND SOW1 DHEH1RZ AH0 LAA1T AH1V HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-03973500_03975870.wav|HHER1T . AH0ND IH1TS RIH1LIY0 , RIH1LIY0 SAE1D .
wavs/9-7-18 clem interviewed by tara_1.wav-04000800_04007670.wav|BIY1 FAH1NIY0 , BAH1T RIH1LIY0 AH1GLIY0 . AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04001460_04007670.wav|BAH1T RIH1LIY0 AH1GLIY0 . AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04000800_04007670.wav|TUW1 BIY1 FAH1NIY0 , BAH1T RIH1LIY0 AH1GLIY0 . AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04003350_04007670.wav|AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04002060_04007670.wav|AH1GLIY0 . AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04001700_04007670.wav|RIH1LIY0 AH1GLIY0 . AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04001040_04007670.wav|FAH1NIY0 , BAH1T RIH1LIY0 AH1GLIY0 . AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04000200_04007670.wav|IH0NTEH1NDAH0D TUW1 BIY1 FAH1NIY0 , BAH1T RIH1LIY0 AH1GLIY0 . AH0ND IH1TS AH0FEH1KTAH0D MIY1 AY1 KAE1NT AY1 KUH1DAH0NT HHAE1NG EH1NIY0 MAO1R AW1T IH0N MAY1 OW1N HHOW1M .
wavs/9-7-18 clem interviewed by tara_1.wav-04035270_04043160.wav|IH1TS JHAH1ST BIH1N RIH1LIY0 , RIH1LIY0 AH1GLIY0 . AH0ND AY1 FIY1L LEH1T DAW1N BIH0KAO1Z BIH0KAO1Z DHEH1R WER0 DHEH1R AA1R AH0 LAA1T AH1V BYUW1TAH0FAH0L PIY1PAH0L HHIY1R DHAE1T AY1 RIH1LIY0 , RIH1LIY0 TRAH1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-04035930_04043160.wav|BIH1N RIH1LIY0 , RIH1LIY0 AH1GLIY0 . AH0ND AY1 FIY1L LEH1T DAW1N BIH0KAO1Z BIH0KAO1Z DHEH1R WER0 DHEH1R AA1R AH0 LAA1T AH1V BYUW1TAH0FAH0L PIY1PAH0L HHIY1R DHAE1T AY1 RIH1LIY0 , RIH1LIY0 TRAH1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-04036110_04043160.wav|RIH1LIY0 , RIH1LIY0 AH1GLIY0 . AH0ND AY1 FIY1L LEH1T DAW1N BIH0KAO1Z BIH0KAO1Z DHEH1R WER0 DHEH1R AA1R AH0 LAA1T AH1V BYUW1TAH0FAH0L PIY1PAH0L HHIY1R DHAE1T AY1 RIH1LIY0 , RIH1LIY0 TRAH1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-04037220_04043160.wav|AH0ND AY1 FIY1L LEH1T DAW1N BIH0KAO1Z BIH0KAO1Z DHEH1R WER0 DHEH1R AA1R AH0 LAA1T AH1V BYUW1TAH0FAH0L PIY1PAH0L HHIY1R DHAE1T AY1 RIH1LIY0 , RIH1LIY0 TRAH1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-04035660_04043160.wav|JHAH1ST BIH1N RIH1LIY0 , RIH1LIY0 AH1GLIY0 . AH0ND AY1 FIY1L LEH1T DAW1N BIH0KAO1Z BIH0KAO1Z DHEH1R WER0 DHEH1R AA1R AH0 LAA1T AH1V BYUW1TAH0FAH0L PIY1PAH0L HHIY1R DHAE1T AY1 RIH1LIY0 , RIH1LIY0 TRAH1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-04036710_04043160.wav|AH1GLIY0 . AH0ND AY1 FIY1L LEH1T DAW1N BIH0KAO1Z BIH0KAO1Z DHEH1R WER0 DHEH1R AA1R AH0 LAA1T AH1V BYUW1TAH0FAH0L PIY1PAH0L HHIY1R DHAE1T AY1 RIH1LIY0 , RIH1LIY0 TRAH1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-04036410_04043160.wav|RIH1LIY0 AH1GLIY0 . AH0ND AY1 FIY1L LEH1T DAW1N BIH0KAO1Z BIH0KAO1Z DHEH1R WER0 DHEH1R AA1R AH0 LAA1T AH1V BYUW1TAH0FAH0L PIY1PAH0L HHIY1R DHAE1T AY1 RIH1LIY0 , RIH1LIY0 TRAH1ST .
wavs/9-7-18 clem interviewed by tara_1.wav-04093170_04100790.wav|TOW1TAH0LIY0 TWIH1STAH0D STAO1RIY0 . AH0ND AH0ND , YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R .
wavs/9-7-18 clem interviewed by tara_1.wav-04093080_04100790.wav|AH0 TOW1TAH0LIY0 TWIH1STAH0D STAO1RIY0 . AH0ND AH0ND , YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R .
wavs/9-7-18 clem interviewed by tara_1.wav-04093560_04100790.wav|TWIH1STAH0D STAO1RIY0 . AH0ND AH0ND , YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R .
wavs/9-7-18 clem interviewed by tara_1.wav-04094010_04100790.wav|STAO1RIY0 . AH0ND AH0ND , YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R .
wavs/9-7-18 clem interviewed by tara_1.wav-04099649_04102380.wav|WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04095240_04102380.wav|AH0ND AH0ND , YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04095240_04100790.wav|AH0ND AH0ND , YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R .
wavs/9-7-18 clem interviewed by tara_1.wav-04095570_04102380.wav|AH0ND , YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04099500_04102380.wav|NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04098510_04102380.wav|IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04096229_04102380.wav|YUW1 NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04098240_04102380.wav|DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04100130_04102380.wav|FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04100430_04102380.wav|DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04101210_04102380.wav|IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04096590_04102380.wav|NOW1 , AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04097850_04102380.wav|AY1 DOW1NT IH1TS RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04099800_04102380.wav|GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04099380_04102380.wav|TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04099020_04102380.wav|DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04099800_04102380.wav|TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/9-7-18 clem interviewed by tara_1.wav-04098779_04102380.wav|RIH1LIY0 DIH1FAH0KAH0LT TUW1 NOW1 WEH1R TUW1 GOW1 FRAH1M DHEH1R . IH1TS JHAH1ST RIH1LIY0 TRIH1KIY0 .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00010830_00013560.wav|CHEH1K . SAA1LAH0D IH1Z GUH1D .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013170_00014220.wav|IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00012780_00014220.wav|SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00012780_00014220.wav|SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013290_00016860.wav|GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013560_00015600.wav|WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013710_00016860.wav|YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00010830_00016860.wav|CHEH1K . SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013710_00015600.wav|YUW1 THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00015090_00016860.wav|AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013860_00016860.wav|THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00010830_00018690.wav|CHEH1K . SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00010830_00014220.wav|CHEH1K . SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013860_00015600.wav|THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013710_00015600.wav|DUW1 YUW1 THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00012780_00015600.wav|SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00015090_00018690.wav|AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013170_00018690.wav|IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013170_00015600.wav|IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00010830_00015600.wav|CHEH1K . SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013290_00018690.wav|GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00012780_00018690.wav|SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013170_00016860.wav|IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013290_00015600.wav|GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00015210_00016860.wav|MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013560_00016860.wav|WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013710_00016860.wav|DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00012780_00016860.wav|SAA1LAH0D IH1Z GUH1D . WAH1T DUW1 YUW1 THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ?
wavs/2-9-18 clem first interview in aft cabin_1.wav-00016500_00018690.wav|SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00016290_00018690.wav|WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00016860_00018690.wav|AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00015210_00018690.wav|MAY1T ? HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00013860_00018690.wav|THIH1NGK ? AY1 MAY1T ? HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
wavs/2-9-18 clem first interview in aft cabin_1.wav-00016050_00018690.wav|HHAW1 WUH1D AY1 SPIY1K ? AY1 GEH1S AY1D SPIY1K LAY1K DHIH1S PRIH1TIY0 MAH1CH .
