wavs/9-7-18 clem interviewed by tara_1.wav-00071910_00075420.wav|Because you will know that I will be very very upset if you do.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01354620_01359030.wav|And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01352730_01359030.wav|or make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01351950_01359030.wav|lot of stiffness or make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01351950_01359030.wav|of stiffness or make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01351560_01359030.wav|add a lot of stiffness or make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01352850_01359030.wav|make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01351260_01359030.wav|to add a lot of stiffness or make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01353360_01359030.wav|thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01352190_01359030.wav|stiffness or make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01351560_01359030.wav|a lot of stiffness or make it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01353060_01359030.wav|it very thick.  And there are various other materials including Ferro cement.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01365630_01370760.wav|wire and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01368870_01370760.wav|All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01367610_01370760.wav|that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01366980_01370760.wav|and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01366380_01370760.wav|rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01363020_01370760.wav|steel structure, often built out of wire and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01366170_01370760.wav|and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01367400_01370760.wav|like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01365330_01370760.wav|of wire and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01367100_01370760.wav|things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01365000_01370760.wav|built out of wire and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01363650_01370760.wav|structure, often built out of wire and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01365330_01370760.wav|out of wire and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01364550_01370760.wav|often built out of wire and rebar and things like that.  All encased in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01387590_01394700.wav|made a bet with his neighbors that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01390290_01394700.wav|rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01388490_01394700.wav|neighbors that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01390080_01394700.wav|of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01387410_01394700.wav|who made a bet with his neighbors that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01389720_01394700.wav|a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01390080_01394700.wav|out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01389480_01394700.wav|build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01391250_01394700.wav|And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01390590_01394700.wav|basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01388190_01394700.wav|with his neighbors that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01387590_01394700.wav|a bet with his neighbors that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01389030_01394700.wav|that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01389720_01394700.wav|boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01387890_01394700.wav|bet with his neighbors that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01389300_01394700.wav|could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01389180_01394700.wav|he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01388340_01394700.wav|his neighbors that he could build a boat out of rock basically.  And of course, all the neighbors were your, you know, told him You're crazy.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01393500_01399680.wav|told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01393770_01399680.wav|him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01393260_01399680.wav|know, told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01391940_01399680.wav|the neighbors were your, you know, told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01394790_01399680.wav|And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01394010_01399680.wav|crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01392420_01399680.wav|were your, you know, told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01391820_01399680.wav|all the neighbors were your, you know, told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01393860_01399680.wav|You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01393050_01399680.wav|you know, told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01392030_01399680.wav|neighbors were your, you know, told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01392570_01399680.wav|your, you know, told him You're crazy.  And that's not possible and they did a big bet, probably, you know, a lot of booze went around.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01400280_01407810.wav|And, and he proved the point he built a robot that was, you know, to be used to paddle across this little pond.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01403550_01410630.wav|that was, you know, to be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01409580_01412820.wav|still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01409820_01412820.wav|exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01407210_01412820.wav|pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01405230_01412820.wav|used to paddle across this little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01406460_01410630.wav|this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01405230_01410630.wav|used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01402800_01410630.wav|a robot that was, you know, to be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01402890_01410630.wav|robot that was, you know, to be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01404960_01412820.wav|be used to paddle across this little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01405650_01410630.wav|paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01404960_01410630.wav|be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01403760_01410630.wav|was, you know, to be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01404960_01410630.wav|to be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01404720_01410630.wav|know, to be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01405530_01412820.wav|to paddle across this little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01407210_01410630.wav|pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01406760_01410630.wav|little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01410630_01412820.wav|It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01408410_01412820.wav|And that boat still exists today. It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01408410_01410630.wav|And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01404540_01410630.wav|you know, to be used to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01404960_01412820.wav|to be used to paddle across this little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01405530_01410630.wav|to paddle across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01406460_01412820.wav|this little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01405650_01412820.wav|paddle across this little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01408410_01412820.wav|And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01409040_01412820.wav|that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01406070_01412820.wav|across this little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01406070_01410630.wav|across this little pond.  And that boat still exists today.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01409310_01412820.wav|boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01410240_01412820.wav|today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01406760_01412820.wav|little pond. And that boat still exists today.  It's actually in some French museum.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01426080_01432680.wav|rock weighs.  Now Ferro cement started to be widely used during the Second World War.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01425240_01432680.wav|more water than the rock weighs.  Now Ferro cement started to be widely used during the Second World War.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01425450_01432680.wav|water than the rock weighs.  Now Ferro cement started to be widely used during the Second World War.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01426380_01432680.wav|weighs.  Now Ferro cement started to be widely used during the Second World War.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01427820_01432680.wav|Now Ferro cement started to be widely used during the Second World War.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01425990_01432680.wav|the rock weighs.  Now Ferro cement started to be widely used during the Second World War.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01425840_01432680.wav|than the rock weighs.  Now Ferro cement started to be widely used during the Second World War.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01444740_01451940.wav|barely been invented and it wasn't very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01446660_01451940.wav|good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01446900_01451940.wav|yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01446450_01451940.wav|very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01446150_01451940.wav|wasn't very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01445250_01451940.wav|invented and it wasn't very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01445070_01451940.wav|been invented and it wasn't very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01445970_01451940.wav|and it wasn't very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01445970_01451940.wav|it wasn't very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01444530_01451940.wav|had barely been invented and it wasn't very good yet.  So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01447290_01451940.wav|So all the steel vessels were built like riveted together, bolted together.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01474230_01482090.wav|all kinds of things, weapons and whatnot.  So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01475580_01482090.wav|and whatnot.  So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01476660_01482090.wav|So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01475070_01482090.wav|weapons and whatnot.  So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01474740_01482090.wav|things, weapons and whatnot.  So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01475760_01482090.wav|whatnot.  So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01474680_01482090.wav|of things, weapons and whatnot.  So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01474380_01482090.wav|kinds of things, weapons and whatnot.  So, you know, there was a large labor force available, but not so much skilled labor.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01482540_01490490.wav|And Ferro cement is a way where the entire structure can be basically put together by very low skilled laborers.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01505670_01512390.wav|It's a very special mix that Believe it or not, turns out at the end to be more flexible than oak.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01504650_01512390.wav|concrete.  It's a very special mix that Believe it or not, turns out at the end to be more flexible than oak.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01525530_01531650.wav|doesn't do that.  The only slight disadvantage towards steel is punctual strengths.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01527210_01531650.wav|The only slight disadvantage towards steel is punctual strengths.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01523940_01531650.wav|steel reinforced concrete doesn't do that.  The only slight disadvantage towards steel is punctual strengths.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01526130_01531650.wav|that.  The only slight disadvantage towards steel is punctual strengths.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01525980_01531650.wav|do that.  The only slight disadvantage towards steel is punctual strengths.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01524870_01531650.wav|concrete doesn't do that.  The only slight disadvantage towards steel is punctual strengths.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01524330_01531650.wav|reinforced concrete doesn't do that.  The only slight disadvantage towards steel is punctual strengths.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01531680_01539210.wav|So if a very small kind of point bores into a hole, it can crack more easily than steel.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01547910_01553670.wav|kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01546230_01553670.wav|stretch and bend and it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01546050_01553670.wav|can stretch and bend and it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01548270_01553670.wav|sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01545840_01553670.wav|so it can stretch and bend and it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01548120_01553670.wav|a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01549140_01553670.wav|water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01546890_01553670.wav|bend and it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01545840_01553670.wav|it can stretch and bend and it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01547610_01553670.wav|become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01548960_01553670.wav|let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01548120_01553670.wav|of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01546740_01553670.wav|and bend and it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01548810_01553670.wav|and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01547490_01553670.wav|would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01547310_01553670.wav|and it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01550310_01553670.wav|But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01549530_01553670.wav|in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01547310_01553670.wav|it would become kind of a sieve and let water in.  But it wouldn't break wide open like most other ships would.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01553160_01559970.wav|ships would.  So it turned out to be quite a capable material and many many, many ships.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01553430_01559970.wav|would.  So it turned out to be quite a capable material and many many, many ships.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01552920_01559970.wav|other ships would.  So it turned out to be quite a capable material and many many, many ships.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01552020_01559970.wav|like most other ships would.  So it turned out to be quite a capable material and many many, many ships.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01552590_01559970.wav|most other ships would.  So it turned out to be quite a capable material and many many, many ships.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01554330_01559970.wav|So it turned out to be quite a capable material and many many, many ships.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01559550_01565040.wav|ships.  Especially around the second world war were built in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563600_01567950.wav|war were built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01561860_01567950.wav|Especially around the second world war were built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01561860_01565040.wav|Especially around the second world war were built in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01558770_01565040.wav|many many, many ships.  Especially around the second world war were built in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01559100_01565040.wav|many, many ships.  Especially around the second world war were built in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01559340_01565040.wav|many ships.  Especially around the second world war were built in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01558200_01565040.wav|and many many, many ships.  Especially around the second world war were built in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01557540_01565040.wav|material and many many, many ships.  Especially around the second world war were built in concrete.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01561860_01569600.wav|Especially around the second world war were built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563990_01567950.wav|built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01564320_01567950.wav|in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563390_01567950.wav|world war were built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563810_01567950.wav|were built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01564320_01569600.wav|in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563600_01569600.wav|war were built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01565460_01567950.wav|And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01562250_01567950.wav|around the second world war were built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566180_01569600.wav|ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01565460_01569600.wav|And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01565460_01569600.wav|And most of these ships are still around there. You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01564470_01569600.wav|concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01565670_01569600.wav|most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566060_01569600.wav|these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01567380_01569600.wav|there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01562250_01569600.wav|around the second world war were built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01564470_01567950.wav|concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563090_01567950.wav|second world war were built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566450_01569600.wav|are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563390_01569600.wav|world war were built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01562490_01569600.wav|the second world war were built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01562490_01567950.wav|the second world war were built in concrete.  And most of these ships are still around there.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01567950_01569600.wav|You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563810_01569600.wav|were built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566540_01569600.wav|still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563090_01569600.wav|second world war were built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01565940_01569600.wav|of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01563990_01569600.wav|built in concrete. And most of these ships are still around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01568070_01573830.wav|know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566750_01573830.wav|around there. You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01565940_01573830.wav|of these ships are still around there. You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01567380_01573830.wav|there. You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01567950_01573830.wav|You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01568820_01573830.wav|brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01568760_01573830.wav|are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566540_01573830.wav|still around there. You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566060_01573830.wav|these ships are still around there. You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01568520_01573830.wav|of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566450_01573830.wav|are still around there. You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566180_01573830.wav|ships are still around there. You know, some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01566750_01569600.wav|around there.  You know, some of them are brake water.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01568610_01573830.wav|them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01569120_01573830.wav|water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01568280_01573830.wav|some of them are brake water.  Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01567950_01573830.wav|You know, some of them are brake water. Some of them are restaurants, some of them, you know, are still in service.
wavs/2-9-18 clem first interview in aft cabin_1.wav-01569600_01573830.wav|Some of them are restaurants, some of them, you know, are still in service.
